ID,Year,Month,Day,X,Date_,Hour,Minute,Second,Time_,Date,Spacecraft,Chave,Gaps
995,2017,9,10,09/10/2017,09/10/2017,1,0,0,1:00:00 AM,2017-09-10 01:00:00,STA,2017910100STA,
1053,2007,1,17,01/17/2007,01/17/2007,4,0,0,4:00:00 AM,2007-01-17 04:00:00,STA,2007117400STA,
1054,2007,1,17,01/17/2007,01/17/2007,6,0,0,6:00:00 AM,2007-01-17 06:00:00,STA,2007117600STA,
1055,2007,1,17,01/17/2007,01/17/2007,8,0,0,8:00:00 AM,2007-01-17 08:00:00,STA,2007117800STA,
1056,2007,1,17,01/17/2007,01/17/2007,10,0,0,10:00:00 AM,2007-01-17 10:00:00,STA,20071171000STA,
1057,2007,1,17,01/17/2007,01/17/2007,12,0,0,12:00:00 PM,2007-01-17 12:00:00,STA,20071171200STA,
1058,2007,1,17,01/17/2007,01/17/2007,14,0,0,2:00:00 PM,2007-01-17 14:00:00,STA,20071171400STA,
1059,2007,1,17,01/17/2007,01/17/2007,16,0,0,4:00:00 PM,2007-01-17 16:00:00,STA,20071171600STA,
1060,2007,1,17,01/17/2007,01/17/2007,18,0,0,6:00:00 PM,2007-01-17 18:00:00,STA,20071171800STA,
1061,2007,1,17,01/17/2007,01/17/2007,20,0,0,8:00:00 PM,2007-01-17 20:00:00,STA,20071172000STA,
1062,2007,1,17,01/17/2007,01/17/2007,22,0,0,10:00:00 PM,2007-01-17 22:00:00,STA,20071172200STA,
1063,2007,1,18,01/18/2007,01/18/2007,1,0,0,1:00:00 AM,2007-01-18 01:00:00,STA,2007118100STA,
