ID,Year,Month,Day,Date_,Hour,Minute,Second,Time_,Date,Spacecraft_,Spacecraft,Type_ipshock,Origem,Chave,Repete?,Accept
1717,2007,11,19,11/19/2007,13,49,35,1:49:35 PM,2007-11-19 13:49:35,STEREO-B,STB,FF,IPShock,20071119134935STEREO-B,,0
34000000,2007,11,19,11/19/2007,13,49,35,1:49:35 PM,2007-11-19 13:49:35,STEREO-B,STB,FF,SSC,20071119134935STEREO-B,Repetido,1
35000000,2007,12,8,12/8/2007,23,2,3,11:02:03 PM,2007-12-08 23:02:03,STEREO-B,STB,FF,SSC,20071282323STEREO-B,,0
36000000,2007,12,16,12/16/2007,0,16,34,12:16:34 AM,2007-12-16 00:16:34,STEREO-B,STB,FF,SSC,2007121601634STEREO-B,,0
1721,2007,12,19,12/19/2007,6,18,20,6:18:20 AM,2007-12-19 06:18:20,STEREO-B,STB,FR,IPShock,2007121961820STEREO-B,,0
37000000,2008,1,8,1/8/2008,1,48,30,1:48:30 AM,2008-01-08 01:48:30,STEREO-A,STA,FR,SSC,20081814830STEREO-A,,0
1725,2008,2,7,2/7/2008,14,35,23,2:35:23 PM,2008-02-07 14:35:23,STEREO-B,STB,FF,IPShock,200827143523STEREO-B,,0
1726,2008,2,9,2/9/2008,18,42,7,6:42:07 PM,2008-02-09 18:42:07,STEREO-B,STB,FR,IPShock,20082918427STEREO-B,,0
38000000,2008,2,9,2/9/2008,18,42,7,6:42:07 PM,2008-02-09 18:42:07,STEREO-B,STB,FR,SSC,20082918427STEREO-B,Repetido,1
39000000,2008,2,29,2/29/2008,22,51,2,10:51:02 PM,2008-02-29 22:51:02,STEREO-A,STA,FF,SSC,200822922512STEREO-A,,0
1728,2008,3,7,3/7/2008,0,14,24,12:14:24 AM,2008-03-07 00:14:24,STEREO-B,STB,FR,IPShock,20083701424STEREO-B,,0
40000000,2008,3,8,3/8/2008,18,16,32,6:16:32 PM,2008-03-08 18:16:32,STEREO-A,STA,FF,SSC,200838181632STEREO-A,,0
1731,2008,3,9,3/9/2008,19,50,7,7:50:07 PM,2008-03-09 19:50:07,STEREO-A,STA,FR,IPShock,20083919507STEREO-A,,0
41000000,2008,3,9,3/9/2008,19,50,7,7:50:07 PM,2008-03-09 19:50:07,STEREO-A,STA,FR,SSC,20083919507STEREO-A,Repetido,1
42000000,2008,3,29,3/29/2008,18,12,58,6:12:58 PM,2008-03-29 18:12:58,STEREO-A,STA,FR,SSC,2008329181258STEREO-A,,0
1732,2008,4,4,4/4/2008,7,41,44,7:41:44 AM,2008-04-04 07:41:44,STEREO-B,STB,FR,IPShock,20084474144STEREO-B,,0
43000000,2008,4,4,4/4/2008,7,41,44,7:41:44 AM,2008-04-04 07:41:44,STEREO-B,STB,FR,SSC,20084474144STEREO-B,Repetido,1
44000000,2008,4,8,4/8/2008,7,34,40,7:34:40 AM,2008-04-08 07:34:40,STEREO-A,STA,FR,SSC,20084873440STEREO-A,,0
1735,2008,4,22,4/22/2008,20,30,56,8:30:56 PM,2008-04-22 20:30:56,STEREO-B,STB,FR,IPShock,2008422203056STEREO-B,,0
1738,2008,4,24,4/24/2008,13,6,54,1:06:54 PM,2008-04-24 13:06:54,STEREO-A,STA,FF,IPShock,200842413654STEREO-A,,0
45000000,2008,4,24,4/24/2008,13,6,54,1:06:54 PM,2008-04-24 13:06:54,STEREO-A,STA,FF,SSC,200842413654STEREO-A,Repetido,1
1739,2008,4,29,4/29/2008,14,10,8,2:10:08 PM,2008-04-29 14:10:08,STEREO-B,STB,FF,IPShock,200842914108STEREO-B,,0
46000000,2008,4,29,4/29/2008,14,10,8,2:10:08 PM,2008-04-29 14:10:08,STEREO-B,STB,FF,SSC,200842914108STEREO-B,Repetido,1
47000000,2008,5,11,5/11/2008,6,31,9,6:31:09 AM,2008-05-11 06:31:09,STEREO-A,STA,FF,SSC,20085116319STEREO-A,,0
