ID,Year,Month,Day,Date_,Hour,Minute,Second,Time_,Date,Spacecraft_,Spacecraft,Type_ipshock,Origem,Chave,Repete?,Accept,Gap
2392,2013,12,22,41630,0,9,44,"0,006759259259","41630,00676",STEREO-B,STB,FF,IPShock,201312220944STEREO-B,,0,1
444000000,2014,1,9,41648,13,17,36,"0,5538888889","41648,55389",STEREO-A,STA,FF,SSC,201419131736STEREO-A,,0,1
445000000,2014,1,12,41651,19,11,41,"0,7997800926","41651,79978",STEREO-A,STA,FF,SSC,2014112191141STEREO-A,,0,1
446000000,2014,1,14,41653,23,59,9,"0,9994097222","41653,99941",STEREO-A,STA,FF,SSC,201411423599STEREO-A,,0,1
2412,2014,2,2,41672,0,18,17,"0,01269675926","41672,0127",STEREO-A,STA,FF,IPShock,20142201817STEREO-A,,0,1
460000000,2014,2,8,41678,10,39,24,"0,4440277778","41678,44403",STEREO-B,STB,FF,SSC,201428103924STEREO-B,,0,1
2417,2014,2,12,41682,12,15,50,"0,5109953704","41682,511",STEREO-B,STB,FF,IPShock,2014212121550STEREO-B,,0,1
2419,2014,2,13,41683,12,47,40,"0,5331018519","41683,5331",STEREO-B,STB,FF,IPShock,2014213124740STEREO-B,,0,1
462000000,2014,2,13,41683,12,47,46,"0,5331712963","41683,53317",STEREO-B,STB,FF,SSC,2014213124746STEREO-B,,0,1
2421,2014,2,16,41686,7,50,13,"0,3265393519","41686,32654",STEREO-A,STA,FF,IPShock,201421675013STEREO-A,,0,1
465000000,2014,2,21,41691,7,17,0,"0,3034722222","41691,30347",STEREO-B,STB,FF,SSC,20142217170STEREO-B,,0,1
467000000,2014,2,22,41692,8,10,0,"0,3402777778","41692,34028",STEREO-B,STB,FF,SSC,20142228100STEREO-B,,0,1
2428,2014,2,22,41692,23,6,24,"0,9627777778","41692,96278",STEREO-A,STA,FF,IPShock,201422223624STEREO-A,,0,1
2435,2014,3,8,41706,4,41,57,"0,1957986111","41706,1958",STEREO-B,STB,FF,IPShock,20143844157STEREO-B,,0,1
2439,2014,3,14,41712,23,10,15,"0,9654513889","41712,96545",STEREO-B,STB,FF,IPShock,2014314231015STEREO-B,,0,1
2467,2014,6,11,41801,0,14,42,"0,01020833333","41801,01021",STEREO-A,STA,FF,IPShock,201461101442STEREO-A,,0,1
500000000,2014,7,2,41822,0,34,45,"0,02413194444","41822,02413",STEREO-B,STB,FR,SSC,20147203445STEREO-B,,0,1
506000000,2014,7,29,41849,19,40,"54,5","0,8200694444","41849,82007",STEREO-B,STB,FF,SSC,"2014729194054,5STEREO-B",,0,1
510000000,2014,8,16,41867,6,7,21,"0,2551041667","41867,2551",STEREO-B,STB,FF,SSC,20148166721STEREO-B,,0,1
514000000,2014,9,3,41885,7,45,19,"0,3231365741","41885,32314",STEREO-B,STB,FF,SSC,20149374519STEREO-B,,0,1
515000000,2014,9,4,41886,6,7,25,"0,255150463","41886,25515",STEREO-B,STB,FF,SSC,2014946725STEREO-B,,0,1
519000000,2014,9,25,41907,20,38,51,"0,8603125","41907,86031",STEREO-A,STA,FF,SSC,2014925203851STEREO-A,,0,1
520000000,2014,9,26,41908,16,32,46,"0,6894212963","41908,68942",STEREO-B,STB,FF,SSC,2014926163246STEREO-B,,0,1
521000000,2014,10,16,41928,20,5,3,"0,8368402778","41928,83684",STEREO-A,STA,FF,SSC,201410162053STEREO-A,,0,1
2494,2014,10,16,41928,20,11,43,"0,8414699074","41928,84147",STEREO-A,STA,FF,IPShock,20141016201143STEREO-A,,0,1
524000000,2015,12,1,42339,13,37,52,"0,567962963","42339,56796",STEREO-A,STA,FF,SSC,2015121133752STEREO-A,,0,1
535000000,2016,7,2,42553,20,48,54,"0,8672916667","42553,86729",STEREO-A,STA,FF,SSC,201672204854STEREO-A,,0,1
537000000,2016,7,22,42573,23,12,12,"0,9668055556","42573,96681",STEREO-A,STA,FR,SSC,2016722231212STEREO-A,,0,1
539000000,2016,8,4,42586,8,24,27,"0,3503125","42586,35031",STEREO-A,STA,FR,SSC,20168482427STEREO-A,,0,1
559000000,2017,5,10,42865,2,20,33,"0,09760416667","42865,0976",STEREO-A,STA,FR,SSC,201751022033STEREO-A,,0,1
563000000,2017,7,24,42940,13,22,41,"0,5574189815","42940,55742",STEREO-A,STA,FF,SSC,2017724132241STEREO-A,,0,1
564000000,2017,7,24,42940,14,36,31,"0,6086921296","42940,60869",STEREO-A,STA,FF,SSC,2017724143631STEREO-A,,0,1
566000000,2017,7,28,42944,0,19,37,"0,01362268519","42944,01362",STEREO-A,STA,FF,SSC,201772801937STEREO-A,,0,1
568000000,2017,9,13,42991,16,50,2,"0,701412037","42991,70141",STEREO-A,STA,FF,SSC,201791316502STEREO-A,,0,1
569000000,2017,9,19,42997,2,56,25,"0,1225115741","42997,12251",STEREO-A,STA,FF,SSC,201791925625STEREO-A,,0,1
